,NAME OF COMPANY,SYMBOL,Sscore,beta,cagr,currency,debtToEquity,earningsGrowth,ebitda,ebitdaMargins,financialCurrency,grossMargins,grossProfits,kendall,marketCap,market_cagr,net_cagr,operatingMargins,pearson,period,price,returns,revenueGrowth,revenuePerShare,sector,sharp_ratio,spearman,std,totalCash,totalCashPerShare,totalDebt,totalRevenue,volitility
1803,Valiant Organics Limited,VALIANTORG.NS,-734043064.1958032,0.7855298943938681,-0.3511412069182398,INR,43.924,-0.266,1777528960.0,0.15758,INR,0.30541,3588492000.0,0.18987208102335182,12903343104.0,0.19112700014461237,-0.5422682070628522,0.124359995,0.2585623571775839,2.6136986301369864,475.20001220703125,-0.43965041133631966,-0.132,415.331,Basic Materials,-0.05688782033303074,0.27928710109731797,0.030668154962106148,689174016.0,25.378,2993730048.0,11280235520.0,7.728375050450749
1804,Vardhman Acrylics Limited,VARDHACRLC.NS,147597159.63193798,0.6077716147153298,0.2640948423288427,INR,0.139,,488800000.0,0.11123,INR,0.35665,1567300000.0,0.17001489993383967,3933803008.0,0.1260966657147795,0.13799817661406322,0.09874,0.25603765683068974,11.378082191780821,48.95000076293945,0.23973044490450948,-0.163,54.697,Consumer Cyclical,0.037520221356223536,0.2501107405871397,0.02535462891521064,920200000.0,11.502,3400000.0,4394500096.0,6.389366486633081
1805,Vardhman Polytex Limited,VARDMNPOLY.NS,-5380415.850349432,0.5218238078518731,-0.056101202455605126,INR,,,-39758248.0,-0.0054400004,INR,0.07712,1499637000.0,0.12313071513452921,830339776.0,0.1260966657147795,-0.18219786817038464,-0.022149999,0.15390320326262918,11.378082191780821,37.25,-0.059060299289525074,-0.619,328.012,Consumer Cyclical,-0.006479776117998991,0.18197217341791083,0.036168883423444445,1616000.0,0.072,5096519168.0,7306059776.0,9.114558622708
1806,Varroc Engineering Limited,VARROC.NS,-1573401909.003733,0.8233814931513334,-0.22364442438172671,INR,202.989,,8557762560.0,0.12539,INR,0.33213,19200880000.0,0.24614857949488766,45728849920.0,0.1171953683902962,-0.3408397927720229,0.0322,0.3484727604348112,4.857534246575343,299.29998779296875,-0.25887553594905716,-0.452,446.737,Consumer Cyclical,-0.0344072048992334,0.35473482180023974,0.02985664996102624,1920210048.0,12.611,18249420800.0,68249948160.0,7.523875790178613
1807,Vascon Engineers Limited,VASCONEQ.NS,1506277.79875995,1.1764571464628752,0.0016762505286800344,INR,19.005,-0.44,820797248.0,0.09178001,INR,0.19996001,1367935000.0,0.22908869446213828,8127655936.0,0.1260966657147795,-0.12442041518609948,0.08218,0.342547281653045,11.378082191780821,37.400001525878906,0.001713253778483093,0.489,40.857,Industrials,0.0001853274561104588,0.33491046657609924,0.03668439770219219,1180400000.0,5.421,1633200000.0,8943405056.0,9.244468220952431
1808,Vaswani Industries Limited,VASWANI.NS,3530943.426332952,0.5730941265976138,0.059438070476389715,INR,47.816,,233257504.0,0.058280002,INR,0.15444,611759000.0,0.08784467528864941,615599744.0,0.1260966657147795,-0.0666585952383898,0.050419997,0.14979563430920848,11.378082191780821,20.350000381469727,0.059062673301275084,0.038,134.65,Basic Materials,0.005735777931598607,0.12945405831415024,0.04086205750963413,90258000.0,2.99,528828992.0,4002255104.0,10.2972384924278
1809,Varun Beverages Limited,VBL.NS,70763413071.21706,0.4628252219753344,0.4679332032389354,INR,74.467,0.687,30611222528.0,0.21499,INR,0.52645,69119860000.0,0.13773721909361367,1031335772160.0,0.13091278361878755,0.33702041962014784,0.17658001,0.23269611108404556,6.523287671232877,1587.75,0.391444071230967,0.377,219.294,Consumer Defensive,0.06861336044129662,0.20321311139380907,0.02263916938364751,1543320064.0,2.376,38838140928.0,142386446336.0,5.705070684679173
1810,Vaxtex Cotfab Limited,VCL.NS,-29831663.225132152,0.21294854854895787,-0.7419735917377123,INR,,,,0.0,INR,0.0,,0.051829571875977046,250980000.0,0.08358646975893014,-0.8255600614966424,0.0,0.040994230840151434,1.0767123287671232,2.5,-1.3766703585029154,,,Consumer Cyclical,-0.11886071888250917,0.07632670106091591,0.04596116921105638,,,,,11.582214641186207
1811,Vedanta Limited,VEDL.NS,15421662827.788343,1.381745340357043,0.10959273442923023,INR,,,,0.0,INR,0.0,,0.3505217306841473,1036343181312.0,0.1260966657147795,-0.016503931285549278,0.0,0.5198590359807899,11.378082191780821,279.45001220703125,0.10637774805387266,,,Basic Materials,0.014880845559542038,0.49845037946144605,0.028367603115000164,,,,,7.148635984980041
1812,Venky's (India) Limited,VENKEYS.NS,500590720.10543513,0.9339743571103022,0.1841821735960878,INR,,,,0.0,INR,0.0,,0.24127926478081055,22775642112.0,0.1260966657147795,0.058085507881308285,0.0,0.3188450046981946,11.378082191780821,1616.75,0.17292899526563546,,,Consumer Defensive,0.02197921435732802,0.35367900082930387,0.0312215969384837,,,,,7.867842428497893
